RECN,AUN,MUS,TI,ATI,PG,ED,SR,CT,COM,PL,YR,DATE,OY,VOL,NUM,EN,CODE,CITE,GCITE,VO,NOTE,XN,PER,CAT,EX,TR,SC,FE,DI,DIU,ROYAL,COMMIT,CALL,MSG,STAMP,UPN,SORTN,SORT2N,LCITE,BIB,recid,GCITE2,firsttwo,FirstLetter
1758,"Cedillo, Conde de [J. López de Ayala], ed.",,Catálogo monumental de la catedral de Toledo,,,,,,Notes by M. Revuelta Tubino,,,"|y 1919, ed. 1991",,,,,CEDI,"Cedillo, 1919, ed. 1991, p.","Cedillo, 1919, ed. 1991",,Checked: IJR 5/93    SME 5.93     seen.9.7.93.fma,,,,,,,,,,Location,,C T571 C C28c326,G H J M1 O R S V,BLR |D 1993 01 29 |T 13:53:18,BLR |D 1993 01 29 |T 13:53:18,,,"Cedillo, Conde de [J. López de Ayala], ed.  Catálogo monumental de la catedral de Toledo.  1919, ed. 1991.","Cedillo, Conde de [J. López de Ayala], ed.  Catálogo monumental de la catedral de Toledo.  1919, ed. 1991.",1753,"Cedillo, 1919, ed. 1991","Cedillo, 1919",C
1759,"Carbonell i Pallarès, J.A.",,Francesc Gimeno,,,,Maestros del arte de los siglos XIX y XX [3],,,Barcelona,1989,,,,,,CARPA,"Carbonell i Pallarès, 1989, p.","Carbonell i Pallarès, 1989",,Checked: IJR 2/93 // SME 2/93    seen.7.15.93.fma,,,,,,,,,,Back on Shelf,,813 G429c177,G,SME |D 1993 01 29 |T 16:41:47,SME |D 1993 01 29 |T 16:41:47,,,"Carbonell i Pallarès, J.A.  Francesc Gimeno.  Maestros del arte de los siglos XIX y XX [3].  Barcelona, 1989.","Carbonell i Pallarès, J.A.  Francesc Gimeno.  Maestros del arte de los siglos XIX y XX [3].  Barcelona, 1989.",1754,"Carbonell i Pallarès, 1989",Carbonell i,C
1760,"Azcárate [y Ristori], J.M. [de].",,Archivo Español de Arte,"Alvar Martínez, maestro de la Catedral de Toledo",12-Jan,,,,,,,|y1950,,23,,,AZCA50,"Azcárate [y Ristori], 1950, p.","Azcárate [y Ristori], 1950",,Checked SME 2.93 // IJR 2/93    seen.9.1.93.fma,,y,,,,,,,,Magazine,,,G M1,BLR |D 1993 02 01 |T 11:51:39,BLR |D 1993 02 01 |T 11:51:39,,,"Azcárate [y Ristori], J.M. [de].  Alvar Martínez, maestro de la Catedral de Toledo.  Archivo Español de Arte  23 (1950): 1-12.","Azcárate [y Ristori], J.M. [de].  Alvar Martínez, maestro de la Catedral de Toledo.  Archivo Español de Arte  23 (1950): 1-12.",1755,"Azcárate [y Ristori], 1950",Azcárate [y,A
1761,"González Palencia, C.",,Archivo Español de Arte y Arqueología,La capilla de Don Alvaro de Luna en la Catedral de Toledo,109-122,,,,,,,|y 1929,,5,,,GONPA,"González Palencia, 1929, p.","González Palencia, 1929",,Checked SME 2.93    seen.9.1.93.fma // IJR 10/93,,y,,,,,,,,Magazine,,,M1,BLR |D 1993 02 01 |T 15:48:18,BLR |D 1993 02 01 |T 15:48:18,,,"González Palencia, C.  La capilla de Don Alvaro de Luna en la Catedral de Toledo.  Archivo Español de Arte y Arqueología  5 (1929): 109-122.","González Palencia, C.  La capilla de Don Alvaro de Luna en la Catedral de Toledo.  Archivo Español de Arte y Arqueología  5 (1929): 109-122.",1756,"González Palencia, 1929",González Palencia,G
1762,,"Saragossa, Museo Pablo Gargallo",,,,,,Comp.,R. Ordóñez Fernández,,,|y 1989,,,,,SAMUPA,"Saragossa, Museo Pablo Gargallo [cat.], 1989, p.","Saragossa, Museo Pablo Gargallo [cat.], 1989",,Checked: IJR 2/93    seen.9.3.93.fma,,,y,,,,,,,Back on Shelf,,C Sa713 C M972c 1989,G,IR |D 1993 02 01 |T 16:00:26,IR |D 1993 02 01 |T 16:00:26,,"saragossa, museopablogaragallo1989","Saragossa, Museo Pablo Gargallo.  [cat.].  Comp. R. Ordóñez Fernández.  1989.","Saragossa, Museo Pablo Gargallo.  [cat.].  Comp. R. Ordóñez Fernández.  1989.",1757,"Saragossa, Museo Pablo Gargallo [cat.], 1989","Saragossa, Museo",S
1763,,"Madrid, Fundación Cultural Mapfre Vida",Gargallo. La nueva edad de los metales,,,,,Comp.,P. Dagen,,,|y1991,,,,,MAFUN91,"Madrid, Fundación Mapfre [exh.], 1991, p.","Madrid, Fundación Mapfre [exh.], 1991",,Checked: IJR 2/93    seen.9.1.93.fma,,,,y,,,,,,Back on Shelf,,E M26 F962g18,G,IR |D 1993 02 01 |T 16:13:38,IR |D 1993 02 01 |T 16:13:38,,,"Madrid, Fundación Cultural Mapfre Vida.  Gargallo. La nueva edad de los metales [exh.].  Comp. P. Dagen.  1991.","Madrid, Fundación Cultural Mapfre Vida.  Gargallo. La nueva edad de los metales [exh.].  Comp. P. Dagen.  1991.",1758,"Madrid, Fundación Mapfre [exh.], 1991","Madrid, Fundación",M
1764,"Bango Torviso, I.G.",,El románico en España,,,,,,,Madrid,1992,,,,,,BANTOR,"Bango Torviso, 1992, p.","Bango Torviso, 1992",,Checked SME 2/93 // IJR 2/93,,,,,,,,,,General,,803 B224r,G L M3,BLR |D 1993 02 01 |T 17:48:34,BLR |D 1993 02 01 |T 17:48:34,,,"Bango Torviso, I.G.  El románico en España.  Madrid, 1992.","Bango Torviso, I.G.  El románico en España.  Madrid, 1992.",1759,"Bango Torviso, 1992",Bango Torviso,B
1765,"Mates, J.",,El pintor Gimeno,,,,Reprinted as F. Gimeno,Ed.,F. Miralles,Barcelona,"1935. Reprint, Barcelona, [1988]",,,,,,MATES,"Mates, 1935 [repr.1988], p.","Mates, 1935 [repr.1988]",,Checked: IJR 2/93    seen.7.15.93.fma,,,,,,,,,,Back on Shelf,,813 G429m419,G,IR |D 1993 02 02 |T 08:44:00,IR |D 1993 02 02 |T 08:44:00,,,"Mates, J.  El pintor Gimeno.  Reprinted as F. Gimeno.  Ed. F. Miralles.  Barcelona, 1935. Reprint, Barcelona, [1988].","Mates, J.  El pintor Gimeno.  Reprinted as F. Gimeno.  Ed. F. Miralles.  Barcelona, 1935. Reprint, Barcelona, [1988].",1760,"Mates, 1935 [repr.1988]","Mates, 1935",M
1766,"Lacarra Ducay, M. [del] C.",,Seminario de Arte Aragonés,"Una pintura de Francisco Giner (1485) en Santa María de Altabás, de Zaragoza",17-22,,,,,,,|y1980,,31,,,LADU80,"Lacarra Ducay, 1980, p.","Lacarra Ducay, 1980",,Checked: IJR 2/93     seen.5.3.93.fma,,y,,,,,,,,Back on Shelf,,800 Se52,G L,IR |D 1993 02 02 |T 08:44:15,IR |D 1993 02 02 |T 08:44:15,,"Lacarra Ducay, M. del C.1980","Lacarra Ducay, M. [del] C.  Una pintura de Francisco Giner (1485) en Santa María de Altabás, de Zaragoza.  Seminario de Arte Aragonés  31 (1980): 17-22.","Lacarra Ducay, M. [del] C.  Una pintura de Francisco Giner (1485) en Santa María de Altabás, de Zaragoza.  Seminario de Arte Aragonés  31 (1980): 17-22.",1761,"Lacarra Ducay, 1980",Lacarra Ducay,L
1767,"Pérez Alcorta, M.C.",,Archivo Español de Arte,Un proyecto de medalla española del siglo XVIII,287-295,,,,,,,|y1985,,58,,,PEAL85,"Pérez Alcorta, 1985, p.","Pérez Alcorta, 1985",,Checked: IJR 2/93  SME 6.93   seen.9.1.93.fma,,y,,,,,,,,Back on Shelf,,,G,IR |D 1993 02 02 |T 09:51:43,IR |D 1993 02 02 |T 09:51:43,,,"Pérez Alcorta, M.C.  Un proyecto de medalla española del siglo XVIII.  Archivo Español de Arte  58 (1985): 287-295.","Pérez Alcorta, M.C.  Un proyecto de medalla española del siglo XVIII.  Archivo Español de Arte  58 (1985): 287-295.",1762,"Pérez Alcorta, 1985",Pérez Alcorta,P
1768,"Descargues, P.",,Joan González,,,,Le musée de poche,,,Paris,1971,,,,,,DESCAR,"Descargues, 1971, p.","Descargues, 1971",,Checked: IJR 2/93  SME 3.93,,,,,,,,,,Photocopy,,,G,IR |D 1993 02 02 |T 12:05:27,IR |D 1993 02 02 |T 12:05:27,,,"Descargues, P.  Joan González.  Le musée de poche.  Paris, 1971.","Descargues, P.  Joan González.  Le musée de poche.  Paris, 1971.",1763,"Descargues, 1971","Descargues, 1971",D
1769,,"Madrid, Galería Multitud",Fichas biográficas. Surrealismo en España,,,,,,,,,|y1975,,,,,MAGAMUL,"Madrid, Galería Multitud [exh.], 1975, n.p.","Madrid, Galería Multitud [exh.], 1975",,Checked: IJR 2/93   SME 3.93,,,,y,,,,,,Photocopy,,,G N,IR |D 1993 02 02 |T 12:31:33,IR |D 1993 02 02 |T 12:31:33,,,"Madrid, Galería Multitud.  Fichas biográficas. Surrealismo en España [exh.].  1975.","Madrid, Galería Multitud.  Fichas biográficas. Surrealismo en España [exh.].  1975.",1764,"Madrid, Galería Multitud [exh.], 1975","Madrid, Galería",M
1770,,"Saragossa, Caja de Ahorros y Monte de Piedad de Zaragoza, Aragón y Rioja",González Bernal,,,,,,,,,"December 15, |y1983 - January 28, 1984",,,,,SACAGON,"Saragossa, Caja de Ahorros de Aragón, González Bernal [exh.], 1983-1984, p.","Saragossa, Caja de Ahorros de Aragón, González Bernal [exh.], 1983-1984",,Checked: IJR 2/93   SME 3.93,,,,y,,,,,,Photocopy,,,G,IR |D 1993 02 02 |T 12:39:09,IR |D 1993 02 02 |T 12:38:47,,"Saragossa, CajaAhorarr1983","Saragossa, Caja de Ahorros y Monte de Piedad de Zaragoza, Aragón y Rioja.  González Bernal [exh.].  December 15, 1983 - January 28, 1984.","Saragossa, Caja de Ahorros y Monte de Piedad de Zaragoza, Aragón y Rioja.  González Bernal [exh.].  December 15, 1983 - January 28, 1984.",1765,"Saragossa, Caja de Ahorros de Aragón, González Bernal [exh.], 1983-1984","Saragossa, Caja",S
1771,,"Barcelona, Caixa de Pensions","Xavier Gosé, 1876-1915",,,,,,,,,|y 1984,,,,,BARCAI84,"Barcelona, Caixa de Pensions [exh.], 1984, p.","Barcelona, Caixa de Pensions [exh.], 1984",,Checked: IJR 2/93  SME 3.93,,,,y,,,,,,Photocopy,,,G,IR |D 1993 02 02 |T 13:01:09,IR |D 1993 02 02 |T 13:01:09,,,"Barcelona, Caixa de Pensions.  Xavier Gosé, 1876-1915 [exh.]. 1984.","Barcelona, Caixa de Pensions.  Xavier Gosé, 1876-1915 [exh.]. 1984.",1766,"Barcelona, Caixa de Pensions [exh.], 1984","Barcelona, Caixa",B
1772,"Quadrado, J.M.",,Asturias y León,,,,"Recuerdos y bellezas de España, vol.2",,,Madrid,1855,,,,,,QUADRA55,"Quadrado, 1855, p.","Quadrado, 1855",,seen.9.3.93.fma // IJR 10/93,,,,,,,,,,Back on Shelf,,021 Sp1r24 vol.2,G,BLR |D 1993 02 02 |T 13:12:42,BLR |D 1993 02 02 |T 13:12:42,,,"Quadrado, J.M.  Asturias y León.  Recuerdos y bellezas de España, vol.2.  Madrid, 1855.","Quadrado, J.M.  Asturias y León.  Recuerdos y bellezas de España, vol.2.  Madrid, 1855.",1767,"Quadrado, 1855","Quadrado, 1855",Q
1775,"Lago, S. [J. Francés].",,La Esfera,La pintura valenciana. Francisco Gras y sus lienzos levantinos,n.p,,,,,,,"July 25, |y1925",,,603,,LAGO25,"Lago, 1925, n.p.","Lago, 1925",,Checked: IJR 2/93  SME 3.93     seen.9.2.93.fma,,y,,,,,,,,Photocopy,,,G,IR |D 1993 02 02 |T 13:19:42,IR |D 1993 02 02 |T 13:19:42,,,"Lago, S. [J. Francés].  La pintura valenciana. Francisco Gras y sus lienzos levantinos.  La Esfera  603 (July 25, 1925): n.p.","Lago, S. [J. Francés].  La pintura valenciana. Francisco Gras y sus lienzos levantinos.  La Esfera  603 (July 25, 1925): n.p.",1768,"Lago, 1925","Lago, 1925",L
1776,"Villar Angulo, L.M.",,Vida y obra de Alfonso Grosso,,,,,,,Seville,1973,,,,,,VIAN,"Villar Angulo, 1973, p.","Villar Angulo, 1973",,Checked: IJR 2/93  SME 3.93,,,,,,,,,,Photocopy,,,G,IR |D 1993 02 02 |T 13:25:41,IR |D 1993 02 02 |T 13:25:41,,,"Villar Angulo, L.M.  Vida y obra de Alfonso Grosso.  Seville, 1973.","Villar Angulo, L.M.  Vida y obra de Alfonso Grosso.  Seville, 1973.",1769,"Villar Angulo, 1973",Villar Angulo,V
1777,"Ezquerra del Bayo, J.",,Arte Español. Revista de la Sociedad de Amigos del Arte,Apuntes para la historia del retrato-miniatura en España,141-147,,,,,,,August |y 1914,,3,,,EZBA14,"Ezquerra del Bayo, 1914, p.","Ezquerra del Bayo, 1914",,Checked SME 2/93 // IJR 10/93 (Binding at FARL shows v.2 for 1914)      seen.10.21.94.fma,,y,,,,,,,,Back on Shelf,,,G,SME |D 1993 02 02 |T 13:53:02,SME |D 1993 02 02 |T 13:53:02,,"ezquerra del bayo, j.1914","Ezquerra del Bayo, J.  Apuntes para la historia del retrato-miniatura en España.  Arte Español. Revista de la Sociedad de Amigos del Arte  3 (August 1914): 141-147.","Ezquerra del Bayo, J.  Apuntes para la historia del retrato-miniatura en España.  Arte Español. Revista de la Sociedad de Amigos del Arte  3 (August 1914): 141-147.",1770,"Ezquerra del Bayo, 1914",Ezquerra del,E
1778,"Banda y Vargas, A. de la.",,Anales de la Universidad Hispalense,"Juan de Gálvez, pintor de escenas moratianas",55-59,,,,,,,|y1963,,23,,,BANVAR63,"Banda y Vargas, Juan de Gálvez, 1963, p.","Banda y Vargas, Juan de Gálvez, 1963",,Checked SME 2/93 // IJR 3/93,,Y,,,,,,,,Photocopy,,,G,SME |D 1993 02 02 |T 13:35:31,SME |D 1993 02 02 |T 13:35:31,,,"Banda y Vargas, A. de la.  Juan de Gálvez, pintor de escenas moratianas.  Anales de la Universidad Hispalense  23 (1963): 55-59.","Banda y Vargas, A. de la.  Juan de Gálvez, pintor de escenas moratianas.  Anales de la Universidad Hispalense  23 (1963): 55-59.",1771,"Banda y Vargas, Juan de Gálvez, 1963",Banda y,B
1779,"Gasol, J.M.",,La seu de Manresa. Monografia històrica i guia descriptiva,,,,,,,Manresa,1978,,,,,,GASOL,"Gasol, 1978, p.","Gasol, 1978",,Checked: IJR 2/93   SME 3.93,,,,,,,,,,Photocopy,,,G,IR |D 1993 02 02 |T 13:47:34,IR |D 1993 02 02 |T 13:47:34,,,"Gasol, J.M.  La seu de Manresa. Monografia històrica i guia descriptiva.  Manresa, 1978.","Gasol, J.M.  La seu de Manresa. Monografia històrica i guia descriptiva.  Manresa, 1978.",1772,"Gasol, 1978","Gasol, 1978",G
1780,"Duran i Sanpere, A.",,"Per a la història de l'art a Barcelona, glosses a documents dispersos",,,,Treballs de la Societat Catalana d'Estudis Històrics 2,,,Barcelona,1960,,,,,,DUSAN60,"Duran i Sanpere, 1960, p.","Duran i Sanpere, 1960",,Checked: IJR 2/93   SME 3.93,,,,,,,,,,Photocopy,,,G,IR |D 1993 02 02 |T 13:51:09,IR |D 1993 02 02 |T 13:51:09,,,"Duran i Sanpere, A.  Per a la història de l'art a Barcelona, glosses a documents dispersos.  Treballs de la Societat Catalana d'Estudis Històrics 2.  Barcelona, 1960.","Duran i Sanpere, A.  Per a la història de l'art a Barcelona, glosses a documents dispersos.  Treballs de la Societat Catalana d'Estudis Històrics 2.  Barcelona, 1960.",1773,"Duran i Sanpere, 1960",Duran i,D
1781,"Díez del Corral Garnica, R.",,Academia. Boletín de la Real Academia de Bellas Artes de San Fernando,La introducción del Renacimiento en Toledo: El Hospital de Santa Cruz,161-182,,,,,,,|y1986,,62,,,DICOGAR86,"Díez del Corral Garnica, 1986, p.","Díez del Corral Garnica, 1986",,Checked: IJR 2/93    SME 3.93,,y,,,,,,,,Photocopy,,,G,IR |D 1993 02 02 |T 13:57:48,IR |D 1993 02 02 |T 13:57:48,,,"Díez del Corral Garnica, R.  La introducción del Renacimiento en Toledo: El Hospital de Santa Cruz.  Academia. Boletín de la Real Academia de Bellas Artes de San Fernando  62 (1986): 161-182.","Díez del Corral Garnica, R.  La introducción del Renacimiento en Toledo: El Hospital de Santa Cruz.  Academia. Boletín de la Real Academia de Bellas Artes de San Fernando  62 (1986): 161-182.",1774,"Díez del Corral Garnica, 1986",Díez del,D
1782,"Angulo Iñiguez, D.",,Reales Sitios,"'La cuerna de venado', cuadro de Velázquez",13-25,,,,,,,2nd quarter |y 1967,,4,12,,ANI67,"Angulo Iñiguez, 1967, p.","Angulo Iñiguez, 1967",,Checked SME 2/93  // IJR 10/93        seen.5.25.95.fma,,Y,,,,,,,,Photocopy,,,G,SME |D 1993 02 02 |T 14:10:20,SME |D 1993 02 02 |T 14:10:20,,,"Angulo Iñiguez, D.  'La cuerna de venado', cuadro de Velázquez.  Reales Sitios  4, 12 (2nd quarter 1967): 13-25.","Angulo Iñiguez, D.  'La cuerna de venado', cuadro de Velázquez.  Reales Sitios  4, 12 (2nd quarter 1967): 13-25.",1775,"Angulo Iñiguez, 1967",Angulo Iñiguez,A
1783,"Medina González, M.",,Omeya,Principio y actualidad de la pintura cordobesa. Desde Bartolomé Bermejo hasta la última generación,63-68,,,,,,,July-December |y 1974,,,21,,MEGON,"Medina González, 1974, p.","Medina González, 1974",,Checked SME 2/93 // IJR 10/93,,Y,,,,,,,,Photocopy,,,G,SME |D 1993 02 02 |T 14:21:07,SME |D 1993 02 02 |T 14:21:07,,,"Medina González, M.  Principio y actualidad de la pintura cordobesa. Desde Bartolomé Bermejo hasta la última generación.  Omeya  21 (July-December 1974): 63-68.","Medina González, M.  Principio y actualidad de la pintura cordobesa. Desde Bartolomé Bermejo hasta la última generación.  Omeya  21 (July-December 1974): 63-68.",1776,"Medina González, 1974",Medina González,M
1784,"Valverde Madrid, J.",,"Boletín de la Real Academia de Córdoba de Ciencias, Bellas Letras y Nobles Artes",Centenario cordobeses: El pintor García Reinoso,115-116,,,,,,,|y 1977,,46,97,,VALMA77,"Valverde Madrid, 1977, p.","Valverde Madrid, 1977",,Checked SME 2/93  // IJR 10/93,,Y,,,,,,,,Photocopy,,,G,SME |D 1993 02 02 |T 14:49:09,SME |D 1993 02 02 |T 14:49:09,,,"Valverde Madrid, J.  Centenario cordobeses: El pintor García Reinoso.  Boletín de la Real Academia de Córdoba de Ciencias, Bellas Letras y Nobles Artes  46, 97 (1977): 115-116.","Valverde Madrid, J.  Centenario cordobeses: El pintor García Reinoso.  Boletín de la Real Academia de Córdoba de Ciencias, Bellas Letras y Nobles Artes  46, 97 (1977): 115-116.",1777,"Valverde Madrid, 1977",Valverde Madrid,V
1785,"Clémentson Lope, M.C.",,El mundo clásico en José Garnelo y Alda,,,,,,,Córdoba,1985,,,,,,CLEMEN,"Clémentson Lope, 1985, p.","Clémentson Lope, 1985",,Checked SME 2/93,,,,,,,,,,Photocopy,,,G,SME |D 1993 02 02 |T 15:17:06,SME |D 1993 02 02 |T 15:17:06,,,"Clémentson Lope, M.C.  El mundo clásico en José Garnelo y Alda. Córdoba, 1985.","Clémentson Lope, M.C.  El mundo clásico en José Garnelo y Alda. Córdoba, 1985.",1778,"Clémentson Lope, 1985",Clémentson Lope,C
1786,"Gurrea Crespo, V.",,Segrelles: José Gabriel Segrelles Albert (1885-1969) Biografía,,,,,,,Valencia,1985,,,,,,GUCRE,"Gurrea Crespo, 1985, p.","Gurrea Crespo, 1985",,Checked: IJR 7/96,,,,,,,,,,Photocopy,,,S,JEFF |D 1996 07 03 |T 10:37:31,JEFF |D 1996 07 03 |T 10:37:31,,,"Gurrea Crespo, V.  Segrelles: José Gabriel Segrelles Albert (1885-1969) Biografía.  Valencia, 1985.","Gurrea Crespo, V.  Segrelles: José Gabriel Segrelles Albert (1885-1969) Biografía.  Valencia, 1985.",1779,"Gurrea Crespo, 1985",Gurrea Crespo,G
1787,"Espí Valdés, A.",,Revista del Instituto de Estudios Alicantinos,Jaime I el Conquistador en la pintura y la escultura valencianas del siglo XIX,153-174,,,,,,,September-December |y 1976,,19,,,ESVAL76,"Espí Valdés, 1976, p.","Espí Valdés, 1976",,"Checked SME 2.93  // This is II Epoca, i.e. N.S., so should we indicate that? IJR 10/93",,Y,,,,,,,,Photocopy,,,G,SME |D 1993 02 02 |T 15:28:50,SME |D 1993 02 02 |T 15:28:50,,,"Espí Valdés, A.  Jaime I el Conquistador en la pintura y la escultura valencianas del siglo XIX.  Revista del Instituto de Estudios Alicantinos  19 (September-December 1976): 153-174.","Espí Valdés, A.  Jaime I el Conquistador en la pintura y la escultura valencianas del siglo XIX.  Revista del Instituto de Estudios Alicantinos  19 (September-December 1976): 153-174.",1780,"Espí Valdés, 1976",Espí Valdés,E
1788,"Solá-Morales, I. de.",,Gaudí,,,,,,,Barcelona,1983,,,,,,SOMO,"Solá-Morales, 1983, p.","Solá-Morales, 1983",,Checked SME 2.93 // IJR 3/93,,,,,,,,,,Photocopy,,,G,SME |D 1993 02 02 |T 15:44:28,SME |D 1993 02 02 |T 15:44:28,,,"Solá-Morales, I. de.  Gaudí.  Barcelona, 1983.","Solá-Morales, I. de.  Gaudí.  Barcelona, 1983.",1781,"Solá-Morales, 1983",Solá-Morales,S
1789,"Pérez Sánchez, A.E.",,Boletín del Museo del Prado,Vicente Salvador Gómez.  A propósito de una obra adquirida para el Prado,69-78,,,,,,,|y 1980,,1,,,PESAN802,"Pérez Sánchez, Salvador Gómez, 1980, p.","Pérez Sánchez, Salvador Gómez, 1980",,,,Y,,,,,,,,Magazine,,C M26 c P88b,S,JEFF |D 1996 05 07 |T 14:51:13,JEFF |D 1996 05 07 |T 14:51:13,,,"Pérez Sánchez, A.E.  Vicente Salvador Gómez.  A propósito de una obra adquirida para el Prado.  Boletín del Museo del Prado  1 (1980): 69-78.","Pérez Sánchez, A.E.  Vicente Salvador Gómez.  A propósito de una obra adquirida para el Prado.  Boletín del Museo del Prado  1 (1980): 69-78.",1782,"Pérez Sánchez, Salvador Gómez, 1980",Pérez Sánchez,P
1790,,"Madrid, Caja de Ahorros y Monte de Piedad",José Guerrero,,,,,,,,,December |y1980 - January 1981,,,,,MACA,"Madrid, Caja de Ahorros y Monte de Piedad [exh.], 1980-1981, p.","Madrid, Caja de Ahorros y Monte de Piedad [exh.], 1980-1981",,Checked: IJR 2/93   SME 3.93,,,,y,,,,,,Photocopy,,,G,IR |D 1993 02 03 |T 08:55:47,IR |D 1993 02 03 |T 08:55:47,,,"Madrid, Caja de Ahorros y Monte de Piedad.  José Guerrero [exh.].  December 1980 - January 1981.","Madrid, Caja de Ahorros y Monte de Piedad.  José Guerrero [exh.].  December 1980 - January 1981.",1783,"Madrid, Caja de Ahorros y Monte de Piedad [exh.], 1980-1981","Madrid, Caja",M
1791,,"Lérida, Institut d'Estudis Ilerdencs",Baldomer Gili i Roig,,,,,Comp.,J. Gili i Moros,,,May |y 1980,,,,,LEINS,"Lérida, Institut d'Estudis Ilerdencs [exh.], 1980, p.","Lérida, Institut d'Estudis Ilerdencs [exh.], 1980",,Pending for dates of exhibition,,,,y,,,,,,Photocopy,,,G,SME |D 1993 02 03 |T 09:11:11,SME |D 1993 02 03 |T 09:11:11,,,"Lérida, Institut d'Estudis Ilerdencs.  Baldomer Gili i Roig [exh.].  Comp. J. Gili i Moros.  May 1980.","Lérida, Institut d'Estudis Ilerdencs.  Baldomer Gili i Roig [exh.].  Comp. J. Gili i Moros.  May 1980.",1784,"Lérida, Institut d'Estudis Ilerdencs [exh.], 1980","Lérida, Institut",L
1792,,"Madrid, Galería Juana Mordó",José Guerrero,,,,,,,,,|y1976,,,,,MAGAJUA,"Madrid, Galería Juana Mordó [exh.], 1976, n.p.","Madrid, Galería Juana Mordó [exh.], 1976",,Checked: IJR 2/93    SME 3.93    seen.9.1.93.fma,,,,y,,,,,,Back on Shelf,,E M26 G125g93,G,IR |D 1993 02 03 |T 09:23:42,IR |D 1993 02 03 |T 09:23:42,,,"Madrid, Galería Juana Mordó.  José Guerrero [exh.].  1976.","Madrid, Galería Juana Mordó.  José Guerrero [exh.].  1976.",1785,"Madrid, Galería Juana Mordó [exh.], 1976","Madrid, Galería",M
1793,"Camón Aznar, J.",,La arquitectura plateresca,,,,,,,Madrid,1945,,,,,,CAAZ45,"Camón Aznar, 1945, p.","Camón Aznar, 1945",,Checked SME 2.93 // IJR 3/93,,,,,,,,,,Photocopy,,,G,SME |D 1993 02 03 |T 09:23:41,SME |D 1993 02 03 |T 09:23:42,,,"Camón Aznar, J.  La arquitectura plateresca.  Madrid, 1945.","Camón Aznar, J.  La arquitectura plateresca.  Madrid, 1945.",1786,"Camón Aznar, 1945",Camón Aznar,C
